Label,I-L1_SigStat-MW,I-L1_StatSig-qMW,I-L1_Stat-StdAW,I-L1_Stat-Var,I-L1_Stat-Wb,I-L1_Stat-N6M,I-L1_Sig-QWM,I-L1_Sig-GRW,I-L1_Sig-FF
3,0.03235,0.783436,0.782768,0.612726,1.542804,2.637314,0.628153,0.696732,1.124444
3,0.032098,0.783121,0.782463,0.612249,1.541844,2.633053,0.628021,0.696534,1.124311
3,0.032386,0.782606,0.781935,0.611423,1.541255,2.629715,0.627305,0.695967,1.124488
3,0.032455,0.782285,0.781611,0.610916,1.541782,2.631738,0.62693,0.695608,1.124606
3,0.032413,0.782081,0.781409,0.6106,1.541046,2.628683,0.626716,0.695436,1.124591
3,0.032336,0.782312,0.781643,0.610966,1.541524,2.630421,0.626644,0.69552,1.124787
3,0.032458,0.782413,0.78174,0.611117,1.542002,2.632961,0.626854,0.695651,1.124722
3,0.032364,0.782573,0.781903,0.611372,1.541675,2.632231,0.627212,0.695912,1.124529
3,0.032264,0.782537,0.781872,0.611323,1.540823,2.628462,0.627141,0.695892,1.124509
3,0.032379,0.78221,0.781539,0.610803,1.540687,2.627607,0.626787,0.695574,1.124553
3,0.03225,0.782001,0.781336,0.610485,1.540519,2.625932,0.626428,0.6953,1.124696
3,0.032385,0.782326,0.781656,0.610986,1.54021,2.624878,0.626691,0.695607,1.124668
3,0.032366,0.782408,0.781739,0.611115,1.540704,2.627022,0.626622,0.695608,1.124783
3,0.032399,0.782005,0.781333,0.610481,1.540026,2.624513,0.626486,0.695355,1.124612
3,0.032346,0.781373,0.780703,0.609498,1.539173,2.621129,0.626185,0.694901,1.124438
3,0.032238,0.780994,0.780329,0.608913,1.539285,2.621277,0.625821,0.694527,1.124498
3,0.032279,0.781521,0.780854,0.609734,1.539132,2.621295,0.626456,0.69509,1.124345
3,0.032205,0.781219,0.780555,0.609266,1.540039,2.625589,0.626288,0.69482,1.124347
3,0.032127,0.781775,0.781114,0.610139,1.540334,2.626074,0.626412,0.695172,1.124578
3,0.03208,0.781778,0.781119,0.610147,1.54045,2.626623,0.626359,0.695151,1.124615
3,0.032087,0.781751,0.781092,0.610105,1.540193,2.627027,0.626749,0.695325,1.124295
3,0.03198,0.781462,0.780807,0.60966,1.540439,2.628024,0.626459,0.695032,1.124355
3,0.03226,0.781881,0.781215,0.610297,1.541206,2.630064,0.626284,0.695166,1.12474
3,0.032276,0.781597,0.78093,0.609852,1.540929,2.628658,0.626021,0.694901,1.124759
3,0.032138,0.781282,0.780621,0.609369,1.540587,2.627512,0.626026,0.694739,1.12457
3,0.032068,0.782063,0.781405,0.610594,1.541009,2.629601,0.626604,0.695404,1.124618
3,0.032169,0.782685,0.782023,0.611561,1.541444,2.632251,0.627083,0.695947,1.124633
3,0.032279,0.782756,0.782091,0.611666,1.540976,2.630336,0.62736,0.696106,1.124479
3,0.032156,0.782881,0.78222,0.611869,1.541359,2.631684,0.627378,0.696163,1.124565
3,0.032125,0.782971,0.782312,0.612011,1.540781,2.629438,0.627572,0.69632,1.12444
3,0.032175,0.782813,0.782151,0.61176,1.540352,2.62763,0.627381,0.696174,1.124449
3,0.032166,0.782933,0.782272,0.611949,1.540876,2.629917,0.627353,0.696222,1.124545
3,0.032228,0.782641,0.781977,0.611488,1.541474,2.631497,0.626786,0.695803,1.124803
3,0.032232,0.782181,0.781516,0.610768,1.541805,2.633784,0.626754,0.695512,1.124611
3,0.032134,0.782852,0.782192,0.611824,1.541609,2.632536,0.627221,0.696085,1.124649
3,0.03205,0.782466,0.781809,0.611226,1.542314,2.635128,0.626766,0.695655,1.12479
3,0.032254,0.782301,0.781636,0.610955,1.542405,2.635764,0.626647,0.695511,1.124787
3,0.032176,0.783263,0.782602,0.612465,1.542507,2.636737,0.627593,0.696438,1.124669
3,0.032207,0.782935,0.782272,0.61195,1.541888,2.634993,0.62772,0.696331,1.124372
4,0.032032,0.776093,0.775432,0.601295,1.542342,2.635223,0.62182,0.690059,1.124678
4,0.031888,0.777326,0.776671,0.603218,1.543245,2.639427,0.622899,0.691158,1.124671
4,0.03189,0.778159,0.777505,0.604515,1.544101,2.642878,0.623342,0.691786,1.124855
4,0.031807,0.777843,0.777192,0.604028,1.543717,2.641564,0.623333,0.691614,1.124677
4,0.031775,0.777842,0.777193,0.604029,1.543364,2.641144,0.6237,0.691781,1.124405
4,0.031797,0.776989,0.776338,0.602701,1.54399,2.642669,0.622675,0.690859,1.124671
4,0.031717,0.777894,0.777247,0.604113,1.544007,2.642127,0.623216,0.691579,1.124809
4,0.031682,0.777673,0.777027,0.603771,1.543964,2.642937,0.623299,0.691495,1.124625
4,0.031713,0.778443,0.777797,0.604968,1.544402,2.645352,0.624153,0.692252,1.124509
4,0.031803,0.780133,0.779485,0.607596,1.545018,2.647257,0.625154,0.693588,1.124779
4,0.031884,0.780856,0.780205,0.608719,1.545387,2.649185,0.62596,0.694312,1.124648
4,0.031805,0.780591,0.779942,0.60831,1.544812,2.647342,0.625942,0.694178,1.124482
4,0.031791,0.780094,0.779446,0.607536,1.544177,2.64548,0.625914,0.693912,1.124196
4,0.031669,0.779642,0.778998,0.606839,1.544266,2.64703,0.625872,0.693649,1.123972
4,0.031767,0.778733,0.778085,0.605417,1.544416,2.64683,0.62478,0.692686,1.124224
4,0.031685,0.77804,0.777395,0.604342,1.544345,2.646129,0.624016,0.691985,1.124359
4,0.031738,0.777563,0.776915,0.603597,1.543504,2.643428,0.623986,0.691735,1.124077
4,0.031557,0.776761,0.776119,0.602361,1.54332,2.643012,0.623368,0.691052,1.124026
4,0.031568,0.777396,0.776755,0.603348,1.543684,2.644013,0.623688,0.691523,1.124179
4,0.031545,0.777468,0.776828,0.603462,1.542961,2.641316,0.623919,0.691677,1.124034
4,0.031499,0.777716,0.777078,0.603851,1.542865,2.63978,0.623831,0.691775,1.124234
